'Tiarat',"{absis:1.319960489, ordinat:35.38043601}",184195
'Bejaia',"{absis:5.070015827, ordinat:36.76037762}",274520
'Blida',"{absis:2.829997517, ordinat:36.4203467}",388174
'Bouira',"{absis:3.900009724, ordinat:36.38047833}",110144
'Medea',"{absis:2.770001179, ordinat:36.27040753}",145863
'Souk Ahras',"{absis:7.949995075, ordinat:36.29038047}",134947
'Tebessa',"{absis:8.120010537, ordinat:35.41043418}",171742
'Adrar',"{absis:-0.289967083, ordinat:27.86999005}",56910
'Reggane',"{absis:0.166645873, ordinat:26.69998395}",22351
'Bechar',"{absis:-2.230003704, ordinat:31.61110537}",142415
'Tindouf',"{absis:-8.147782025, ordinat:27.67418805}",18270
'Illizi',"{absis:8.466604369, ordinat:26.48335634}",7293
'Arak',"{absis:3.749993041, ordinat:25.2799931}",423251
'I-n-Salah',"{absis:2.466608845, ordinat:27.21664492}",28632
'El Golea',"{absis:2.883327595, ordinat:30.56662132}",32049
'Laghouat',"{absis:2.880020303, ordinat:33.80998924}",108279
'Touggourt',"{absis:6.05998124, ordinat:33.0999809}",91499
'Ouargla',"{absis:5.340025186, ordinat:31.96997235}",176271
'Biskra',"{absis:5.73002722, ordinat:34.85997683}",202103
'Djelfa',"{absis:3.250023558, ordinat:34.67998781}",170901
'Setif',"{absis:5.399969847, ordinat:36.18002545}",274744
'Batna',"{absis:6.170000365, ordinat:35.56995933}",269467
'Annaba',"{absis:7.759980834, ordinat:36.92000612}",355047
'Constantine',"{absis:6.599948281, ordinat:36.35998863}",527638
'Oran',"{absis:-0.61997278, ordinat:35.71000246}",721992
'Tamanrasset',"{absis:5.522804727, ordinat:22.78500327}",71808
'Ghardaia',"{absis:3.669997923, ordinat:32.48999229}",125480
'Algiers',"{absis:3.05055253, ordinat:36.7630648}",2665831
'Pago Pago',"{absis:-170.7066451, ordinat:-14.2766105}",12038
'Andorra',"{absis:1.516485961, ordinat:42.50000144}",38127
'Mucusso',"{absis:21.42999914, ordinat:-18.01953449}",100
'Lucapa',"{absis:20.74001542, ordinat:-8.419603659}",25578
'Capenda-Camulemba',"{absis:18.43002722, ordinat:-9.4195943}",79842
'Saurimo',"{absis:20.39001094, ordinat:-9.659579652}",40907
'Muconda',"{absis:21.31998002, ordinat:-10.59962563}",2324
'Cacolo',"{absis:19.2600024, ordinat:-10.14962726}",984
'Caxito',"{absis:13.65998246, ordinat:-8.579542217}",15665
'Camabatela',"{absis:15.37000728, ordinat:-8.189591859}",12731
'Ndalatando',"{absis:14.90998368, ordinat:-9.299549948}",8144
'Quibala',"{absis:14.97995357, ordinat:-10.72959186}",5248
'Calulo',"{absis:14.90001013, ordinat:-9.999610577}",795
'Waku Kungo',"{absis:15.1199967, ordinat:-11.35952757}",11519
'Songo',"{absis:14.84998734, ordinat:-7.349591452}",10579
'Mbanza-Congo',"{absis:14.23999874, ordinat:-6.269605694}",42201
'Nzeto',"{absis:12.86003129, ordinat:-7.229598776}",19705
'Soyo',"{absis:12.36998368, ordinat:-6.129614239}",65329
'Cabinda',"{absis:12.18999467, ordinat:-5.55962319}",78905
'Calucinga',"{absis:16.19998246, ordinat:-11.31958169}",531
'Camacupa',"{absis:17.46998246, ordinat:-12.01959064}",19489
'Cubal',"{absis:14.23999874, ordinat:-13.03958006}",4837
'Mavinga',"{absis:20.36003861, ordinat:-15.7895414}",30000
'Cuito Caunavale',"{absis:19.16998205, ordinat:-15.15960569}",149
'Luiana',"{absis:22.99998083, ordinat:-17.36954832}",150
'Ondjiva',"{absis:15.73003699, ordinat:-17.06961831}",8748
'Chitado',"{absis:13.92001827, ordinat:-17.31962889}",468
'Chibemba',"{absis:14.0800085, ordinat:-15.74959552}",1502
'Chibia',"{absis:13.69000647, ordinat:-15.1896297}",1411
'Quipungo',"{absis:14.55000565, ordinat:-14.82954832}",186
'Luau',"{absis:22.23000199, ordinat:-10.7095414}",9964
'Cangamba',"{absis:19.86001745, ordinat:-13.69959145}",1307
'Lumbala Nguimbo',"{absis:21.44002437, ordinat:-14.09961871}",25
'Cazombo',"{absis:22.90003861, ordinat:-11.88957273}",298
'Dundo',"{absis:20.82998409, ordinat:-7.380028871}",11985
'Ambriz',"{absis:13.12502803, ordinat:-7.85498696}",17000
'Dondo',"{absis:14.43001298, ordinat:-9.690017071}",2353
'Sumbe',"{absis:13.8499967, ordinat:-11.21002765}",29638
'Uige',"{absis:15.04997514, ordinat:-7.620014222}",56787
'Kuito',"{absis:16.93998897, ordinat:-12.38003375}",113955
'Lobito',"{absis:13.54123002, ordinat:-12.37000853}",170733
'Xangongo',"{absis:14.96998002, ordinat:-16.74002602}",447
'Luena',"{absis:19.90001501, ordinat:-11.79004393}",17276
'Tômbua',"{absis:11.85998897, ordinat:-15.80003172}",40000
'Malanje',"{absis:16.34002559, ordinat:-9.540000388}",106451
'Benguela',"{absis:13.40723303, ordinat:-12.57826455}",142017
'Lubango',"{absis:13.49001868, ordinat:-14.91000853}",114086
'Namibe',"{absis:12.16002234, ordinat:-15.19004311}",128130
'Menongue',"{absis:17.69999426, ordinat:-14.66661253}",13030
'Huambo',"{absis:15.76000932, ordinat:-12.74998533}",986000
'Luanda',"{absis:13.23442704, ordinat:-8.838286114}",3562086
'Artigas Base',"{absis:-58.86386407, ordinat:-62.17388669}",34
'Capitan Arturo Prat Station',"{absis:-59.68331852, ordinat:-62.49950682}",41
'Marambio Station',"{absis:-56.6500153, ordinat:-64.23288939}",102
'Zucchelli Station',"{absis:164.2190271, ordinat:-74.61919259}",60
'Rothera Station',"{absis:-68.12354055, ordinat:-67.5647756}",76
'Palmer Station',"{absis:-64.0468756, ordinat:-64.76241335}",30
'Base Presidente Montalva',"{absis:-58.90765233, ordinat:-62.18274357}",115
'Carlini Station',"{absis:-58.65047599, ordinat:-62.22414386}",40
'King Sejong Station',"{absis:-58.77159876, ordinat:-62.2248534}",53
'Great Wall Station',"{absis:-58.9666956, ordinat:-62.21631997}",26
'Escudero Base',"{absis:-58.95266582, ordinat:-62.19496251}",20
'Elephant Island',"{absis:-57.99998458, ordinat:-61.99958901}",3
'Scott Base',"{absis:166.7491023, ordinat:-77.84693819}",49
'McMurdo Station',"{absis:166.8694157, ordinat:-77.73228239}",600
'Zhongshan Station',"{absis:76.33929808, ordinat:-69.43406299}",42
'Vostok',"{absis:106.8000337, ordinat:-78.46628416}",19
'Peter I Island',"{absis:90.49999508, ordinat:-68.83286701}",0
'Mirny Station',"{absis:93.00628846, ordinat:-66.57552952}",114
'Mawson Station',"{absis:62.87500073, ordinat:-67.61452032}",40
'Davis Station',"{absis:78.14073509, ordinat:-68.77767439}",45
'Concordia Research Station',"{absis:124.1670357, ordinat:-74.66630939}",15
'Casey Station',"{absis:110.536214, ordinat:-66.28608614}",125
'Amundsen–Scott South Pole Station',"{absis:139.2669926, ordinat:-89.98289386}",125
'Wasa Station',"{absis:-13.41671106, ordinat:-73.0496122}",5
'Troll Station',"{absis:2.533323119, ordinat:-72.01629026}",25
'Svea Station',"{absis:-11.21669031, ordinat:-74.58290363}",5
'Novolazarevskaya Station',"{absis:-11.8502129, ordinat:-71.30123475}",35
'Neumayer Station III',"{absis:-7.838438004, ordinat:-70.89039668}",40
'Maitri Station',"{absis:11.7304584, ordinat:-70.7821796}",33
'Halley Station',"{absis:-26.4741567, ordinat:-76.09226319}",43
'Belgrano Station',"{absis:-34.61668319, ordinat:-77.86632078}",57
'Camp Sobral',"{absis:-40.50153152, ordinat:-81.17908472}",20
'Aboa Station',"{absis:-13.41671106, ordinat:-75.04959349}",15
'San Martín Station',"{absis:-67.0999976, ordinat:-68.1163216}",19
'Gen. O'Higgins Station',"{absis:-57.88959352, ordinat:-63.32841823}",30
'Esperanza Station',"{absis:-57.02590151, ordinat:-63.37532865}",152
'Orcadas Station',"{absis:-44.73330082, ordinat:-60.7328963}",29
'Signy Research Station',"{absis:-45.60070332, ordinat:-60.63130815}",4
'Dumont d'Urville Station',"{absis:139.9636836, ordinat:-66.77505091}",75
'Showa Station',"{absis:39.7460831, ordinat:-69.03039249}",50
'Saint John's',"{absis:-61.85003382, ordinat:17.11803652}",29862
'28 de Noviembre',"{absis:-72.30001612, ordinat:-51.65003986}",5300
'Gobernador Gregores',"{absis:-70.25001205, ordinat:-48.76659829}",2519
'Comondante Luis Piedrabuena',"{absis:-68.90347273, ordinat:-49.97454865}",410
'Paso Rio Mayo',"{absis:-70.26657434, ordinat:-45.68337563}",1825
'Alto Rio Sanguer',"{absis:-70.83328394, ordinat:-45.03328611}",1548
'El Maiten',"{absis:-71.16662276, ordinat:-42.05000568}",4269
'Puerto Madryn',"{absis:-65.04001998, ordinat:-42.77001341}",61159
'Trelew',"{absis:-65.3299506, ordinat:-43.25003579}",93128
'Las Heras',"{absis:-68.80167668, ordinat:-32.82503904}",66663
'San Martin',"{absis:-68.49001612, ordinat:-33.06998533}",99974
'Uspallata',"{absis:-69.34598454, ordinat:-32.59311522}",2390
'Cutral Co',"{absis:-69.24002202, ordinat:-38.94001463}",47597
'Punta Alta',"{absis:-62.0799681, ordinat:-38.87996662}",55969
'San Nicolas',"{absis:-60.24000289, ordinat:-33.33002114}",117123
'Campana',"{absis:-58.95997766, ordinat:-34.15999632}",77149
'Chacabuco',"{absis:-60.48998763, ordinat:-34.65004393}",26645
'Mercedes',"{absis:-59.44002588, ordinat:-34.66001748}",48408
'Lincoln',"{absis:-61.53994938, ordinat:-34.88000405}",19924
'Chivilcoy',"{absis:-60.03998926, ordinat:-34.89995115}",43719
'Veinticinco de Mayo',"{absis:-60.17998071, ordinat:-35.42999632}",18749
'Nueve de Julio',"{absis:-60.88998906, ordinat:-35.44596434}",26716
'Dolores',"{absis:-57.68997766, ordinat:-36.33004474}",21586
'Pedro Luro',"{absis:-62.68331629, ordinat:-39.48334064}",7100
'Tres Arroyos',"{absis:-60.26994938, ordinat:-38.3699719}",34773
'Coronel Suarez',"{absis:-61.9166189, ordinat:-37.46661619}",20713
'Balcarce',"{absis:-58.24999516, ordinat:-37.83331216}",18967
'25 de Mayo',"{absis:-67.68329533, ordinat:-37.80003253}",17430
'General Roca',"{absis:-67.60996647, ordinat:-39.01995807}",38578
'Comallo',"{absis:-70.26657434, ordinat:-41.03332355}",741
